,Data Point,Corr Factor,Length Scale,AmbPress,AmbTemp,Density,Viscosity,Motor Speed,Angle of Attack,Corrected q,Avg Velocity,Reynolds number,Axial Force,Normal Force,Pitching Mom,Moment neutral[lb-ft],$C_M$,Neutral_Point[in],Lift[lbf],Drag[lbf],$L/D$,$C_L$,$C_D$,$C_L^{3/2} / C_D$
0,1.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,-5.0158931917,0.11604209817,121.89744567871,59851.94140625,0.0477220086,-0.49984932351,-2.54448915372,1.3643561004228855,12.382905294662518,4.589999999999689,1.1771693883023464,0.6182389653724033,1.9040685790376621,1.2301040769706357,0.6460397963146602,2.111803548558393
1,2.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,-3.05229794627,0.11301807876,120.29866027832,59066.93359375,0.07412774387,-0.27290054508,-1.42488960569,1.4509910209375554,13.521572208038199,4.589999999999689,1.1771693883023464,0.6182389653724033,1.9040685790376621,1.2301040769706357,0.6460397963146602,2.111803548558393
2,3.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,-1.08458125658,0.11168427411,119.58668518066,58717.3515625,0.0616698769,-0.04624216164,-0.28779128925,1.5493889300374257,14.61096195560842,4.589999999999689,1.1771693883023464,0.6182389653724033,1.9040685790376621,1.2301040769706357,0.6460397963146602,2.111803548558393
3,4.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,0.04862485394,0.11145400026,119.46334075928,58656.7890625,0.09885280567,0.11569872555,0.51282608467,1.608136350092976,15.196290782723938,4.589999999999689,1.1771693883023464,0.6182389653724033,1.9040685790376621,1.2301040769706357,0.6460397963146602,2.111803548558393
4,5.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,0.98024866933,0.11032839956,118.85856628418,58359.84375,0.09873508473,0.22628436855,1.07445640459,1.6638105042018103,15.882795004580299,4.589999999999689,1.1771693883023464,0.6182389653724033,1.9040685790376621,1.2301040769706357,0.6460397963146602,2.111803548558393
5,6.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,3.01183409785,0.11230189563,119.91689300537,58879.484375,0.09999130918,0.45022004992,2.20152797426,1.7560417002988804,16.46865473738025,4.589999999999689,1.1771693883023464,0.6182389653724033,1.9040685790376621,1.2301040769706357,0.6460397963146602,2.111803548558393
6,7.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,5.02450455371,0.11175757081,119.62592315674,58736.6171875,0.09088880282,0.67606923913,3.33063695514,1.8441150068821508,17.37886604846614,4.589999999999689,1.1771693883023464,0.6182389653724033,1.9040685790376621,1.2301040769706357,0.6460397963146602,2.111803548558393
7,8.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,6.96777916835,0.10822167514,117.71829223633,57799.96484375,0.06645903078,0.80084480801,3.95384833769,1.8877599774206901,18.37142776032734,4.589999999999689,1.1771693883023464,0.6182389653724033,1.9040685790376621,1.2301040769706357,0.6460397963146602,2.111803548558393
8,9.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,8.9466865345,0.11237695772,119.95696258545,58899.16015625,0.10069579946,0.91425151001,4.41398334283,1.8203841931804252,17.060673518691434,4.589999999999689,1.1771693883023464,0.6182389653724033,1.9040685790376621,1.2301040769706357,0.6460397963146602,2.111803548558393
9,10.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,10.90753869949,0.11050207413,118.95207977295,58405.7578125,0.13184546197,1.00945695083,4.76035191301,1.716393151388056,16.358999164101323,4.589999999999689,1.1771693883023464,0.6182389653724033,1.9040685790376621,1.2301040769706357,0.6460397963146602,2.111803548558393
10,11.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,13.0428289456,0.11297769358,120.27716064453,59056.37890625,0.20441424162,1.01359356045,4.52637632217,1.447430838694558,13.49321697517127,4.589999999999689,1.1771693883023464,0.6182389653724033,1.9040685790376621,1.2301040769706357,0.6460397963146602,2.111803548558393
11,12.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,14.9320334869,0.1128413669,120.20457458496,59020.73828125,0.24151116231,0.96812690983,4.22164382257,1.3297282706718443,12.410947854715086,4.589999999999689,1.1771693883023464,0.6182389653724033,1.9040685790376621,1.2301040769706357,0.6460397963146602,2.111803548558393
12,13.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,17.03708161224,0.11215487996,119.83837890625,58840.93359375,0.26624482027,1.06931507252,4.6264220409,1.2587935578945761,11.8207960379085,4.589999999999689,1.1771693883023464,0.6182389653724033,1.9040685790376621,1.2301040769706357,0.6460397963146602,2.111803548558393
13,14.0,0.907,1.0,14.2875535,533.07,0.00224915215,3.8173e-07,0.0,18.99965332019,0.1100265893,118.69588470459,58279.96875,0.27806391501,1.13722940217,4.89934330187,1.1940956655740984,11.430148123046667,4.589999999999689,1.1771693883023464,0.6182389653724033,1.9040685790376621,1.2301040769706357,0.6460397963146602,2.111803548558393
