,Pitot/static Probe Velocity [m/s], Hotwire Ev [Volts],a_0,a_1,a_2,a_3,a_4
0,0.36200000000000004,1.262,131.955,-326.703,309.377,-136.269,24.409
1,0.363,1.266,131.955,-326.703,309.377,-136.269,24.409
2,0.428,1.261,131.955,-326.703,309.377,-136.269,24.409
3,0.442,1.288,131.955,-326.703,309.377,-136.269,24.409
4,0.51,1.334,131.955,-326.703,309.377,-136.269,24.409
5,0.698,1.389,131.955,-326.703,309.377,-136.269,24.409
6,0.858,1.42,131.955,-326.703,309.377,-136.269,24.409
7,0.909,1.402,131.955,-326.703,309.377,-136.269,24.409
8,1.188,1.44,131.955,-326.703,309.377,-136.269,24.409
9,1.228,1.465,131.955,-326.703,309.377,-136.269,24.409
10,1.3530000000000002,1.463,131.955,-326.703,309.377,-136.269,24.409
11,1.564,1.486,131.955,-326.703,309.377,-136.269,24.409
12,1.8619999999999999,1.516,131.955,-326.703,309.377,-136.269,24.409
13,1.932,1.528,131.955,-326.703,309.377,-136.269,24.409
14,2.272,1.547,131.955,-326.703,309.377,-136.269,24.409
15,2.713,1.585,131.955,-326.703,309.377,-136.269,24.409
16,2.855,1.587,131.955,-326.703,309.377,-136.269,24.409
17,3.245,1.61,131.955,-326.703,309.377,-136.269,24.409
18,3.355,1.624,131.955,-326.703,309.377,-136.269,24.409
19,3.5,1.624,131.955,-326.703,309.377,-136.269,24.409
20,3.668,1.6340000000000001,131.955,-326.703,309.377,-136.269,24.409
21,3.977,1.655,131.955,-326.703,309.377,-136.269,24.409
22,4.0,1.65,131.955,-326.703,309.377,-136.269,24.409
23,4.3580000000000005,1.6680000000000001,131.955,-326.703,309.377,-136.269,24.409
24,4.476,1.6780000000000002,131.955,-326.703,309.377,-136.269,24.409
25,4.885,1.696,131.955,-326.703,309.377,-136.269,24.409
26,4.919,1.694,131.955,-326.703,309.377,-136.269,24.409
27,5.205,1.7069999999999999,131.955,-326.703,309.377,-136.269,24.409
28,5.267,1.713,131.955,-326.703,309.377,-136.269,24.409
29,5.341,1.713,131.955,-326.703,309.377,-136.269,24.409
30,5.553,1.722,131.955,-326.703,309.377,-136.269,24.409
31,5.601,1.7269999999999999,131.955,-326.703,309.377,-136.269,24.409
32,5.9270000000000005,1.736,131.955,-326.703,309.377,-136.269,24.409
33,6.044,1.743,131.955,-326.703,309.377,-136.269,24.409
34,6.371,1.7519999999999998,131.955,-326.703,309.377,-136.269,24.409
35,7.061,1.776,131.955,-326.703,309.377,-136.269,24.409
36,7.062,1.778,131.955,-326.703,309.377,-136.269,24.409
37,7.706,1.796,131.955,-326.703,309.377,-136.269,24.409
38,7.93,1.8030000000000002,131.955,-326.703,309.377,-136.269,24.409
39,8.078,1.807,131.955,-326.703,309.377,-136.269,24.409
40,8.361,1.8159999999999998,131.955,-326.703,309.377,-136.269,24.409
41,8.615,1.825,131.955,-326.703,309.377,-136.269,24.409
42,8.744,1.827,131.955,-326.703,309.377,-136.269,24.409
43,9.26,1.8419999999999999,131.955,-326.703,309.377,-136.269,24.409
44,9.892999999999999,1.861,131.955,-326.703,309.377,-136.269,24.409
45,9.964,1.86,131.955,-326.703,309.377,-136.269,24.409
46,10.222000000000001,1.867,131.955,-326.703,309.377,-136.269,24.409
47,10.335,1.87,131.955,-326.703,309.377,-136.269,24.409
48,10.573,1.876,131.955,-326.703,309.377,-136.269,24.409
49,10.76,1.883,131.955,-326.703,309.377,-136.269,24.409
50,10.932,1.885,131.955,-326.703,309.377,-136.269,24.409
51,11.389000000000001,1.896,131.955,-326.703,309.377,-136.269,24.409
52,11.592,1.902,131.955,-326.703,309.377,-136.269,24.409
53,12.052,1.911,131.955,-326.703,309.377,-136.269,24.409
54,12.18,1.916,131.955,-326.703,309.377,-136.269,24.409
55,12.355,1.9180000000000001,131.955,-326.703,309.377,-136.269,24.409
56,12.463,1.921,131.955,-326.703,309.377,-136.269,24.409
57,12.558,1.9240000000000002,131.955,-326.703,309.377,-136.269,24.409
58,12.595,1.9240000000000002,131.955,-326.703,309.377,-136.269,24.409
59,12.867,1.931,131.955,-326.703,309.377,-136.269,24.409
60,13.036,1.933,131.955,-326.703,309.377,-136.269,24.409
61,13.075999999999999,1.935,131.955,-326.703,309.377,-136.269,24.409
62,13.321,1.9409999999999998,131.955,-326.703,309.377,-136.269,24.409
63,13.526,1.944,131.955,-326.703,309.377,-136.269,24.409
64,13.880999999999998,1.952,131.955,-326.703,309.377,-136.269,24.409
65,14.225999999999999,1.9580000000000002,131.955,-326.703,309.377,-136.269,24.409
66,14.508,1.963,131.955,-326.703,309.377,-136.269,24.409
67,14.695,1.9669999999999999,131.955,-326.703,309.377,-136.269,24.409
68,14.838,1.9709999999999999,131.955,-326.703,309.377,-136.269,24.409
69,14.874,1.9709999999999999,131.955,-326.703,309.377,-136.269,24.409
70,15.219000000000001,1.9780000000000002,131.955,-326.703,309.377,-136.269,24.409
71,15.572000000000001,1.985,131.955,-326.703,309.377,-136.269,24.409
72,15.630999999999998,1.985,131.955,-326.703,309.377,-136.269,24.409
73,15.807,1.9880000000000002,131.955,-326.703,309.377,-136.269,24.409
74,16.007,1.992,131.955,-326.703,309.377,-136.269,24.409
75,16.012,1.992,131.955,-326.703,309.377,-136.269,24.409
76,16.414,1.999,131.955,-326.703,309.377,-136.269,24.409
77,16.425,2.0,131.955,-326.703,309.377,-136.269,24.409
78,16.63,2.002,131.955,-326.703,309.377,-136.269,24.409
79,16.897000000000002,2.0069999999999997,131.955,-326.703,309.377,-136.269,24.409
80,16.919,2.009,131.955,-326.703,309.377,-136.269,24.409
81,17.283,2.015,131.955,-326.703,309.377,-136.269,24.409
82,17.294,2.013,131.955,-326.703,309.377,-136.269,24.409
83,17.524,2.02,131.955,-326.703,309.377,-136.269,24.409
84,17.596,2.021,131.955,-326.703,309.377,-136.269,24.409
85,17.836,2.026,131.955,-326.703,309.377,-136.269,24.409
86,18.309,2.0340000000000003,131.955,-326.703,309.377,-136.269,24.409
87,18.325,2.029,131.955,-326.703,309.377,-136.269,24.409
88,18.563,2.039,131.955,-326.703,309.377,-136.269,24.409
89,18.692,2.042,131.955,-326.703,309.377,-136.269,24.409
90,18.85,2.045,131.955,-326.703,309.377,-136.269,24.409
91,19.094,2.048,131.955,-326.703,309.377,-136.269,24.409
92,19.265,2.0469999999999997,131.955,-326.703,309.377,-136.269,24.409
93,19.288,2.049,131.955,-326.703,309.377,-136.269,24.409
94,19.297,2.043,131.955,-326.703,309.377,-136.269,24.409
95,19.393,2.05,131.955,-326.703,309.377,-136.269,24.409
96,19.45,2.05,131.955,-326.703,309.377,-136.269,24.409
97,19.537,2.052,131.955,-326.703,309.377,-136.269,24.409
98,19.959,2.0540000000000003,131.955,-326.703,309.377,-136.269,24.409
99,19.967,2.059,131.955,-326.703,309.377,-136.269,24.409
100,20.153,2.062,131.955,-326.703,309.377,-136.269,24.409
101,20.203,2.06,131.955,-326.703,309.377,-136.269,24.409
102,20.219,2.063,131.955,-326.703,309.377,-136.269,24.409
103,20.363,2.062,131.955,-326.703,309.377,-136.269,24.409
104,20.427,2.063,131.955,-326.703,309.377,-136.269,24.409
105,20.531999999999996,2.064,131.955,-326.703,309.377,-136.269,24.409
106,20.758000000000003,2.068,131.955,-326.703,309.377,-136.269,24.409
107,20.764,2.0669999999999997,131.955,-326.703,309.377,-136.269,24.409
108,20.842,2.069,131.955,-326.703,309.377,-136.269,24.409
109,20.973000000000003,2.07,131.955,-326.703,309.377,-136.269,24.409
110,21.070999999999998,2.072,131.955,-326.703,309.377,-136.269,24.409
111,21.103,2.0709999999999997,131.955,-326.703,309.377,-136.269,24.409
112,21.136999999999997,2.074,131.955,-326.703,309.377,-136.269,24.409
113,21.214000000000002,2.075,131.955,-326.703,309.377,-136.269,24.409
114,21.234,2.075,131.955,-326.703,309.377,-136.269,24.409
